date,hours_after_sunset,risk,reward,bat_landing_to_food,seconds_after_rat_arrival,habit,food_availability,rat_arrival_number,bat_landing_number
2017-12-30,2.0,1,0,16.0,108,rat,3.955857385,0.0,20.0
2017-12-30,3.0,0,1,0.074015603,17,fast,3.067911715,1.0,37.0
2017-12-30,3.0,0,1,4.0,41,fast,3.067911715,1.0,37.0
2017-12-30,3.0,1,0,10.0,111,rat,3.067911715,1.0,37.0
2017-12-30,3.0,1,0,15.0,194,rat,3.067911715,1.0,37.0
2017-12-30,3.0,1,0,24.0,215,rat,3.067911715,1.0,37.0
2017-12-30,3.0,1,0,13.0,253,rat,3.067911715,1.0,37.0
2017-12-26,4.5,1,0,15.0,88,rat,2.561403509,1.0,53.0
2017-12-26,4.5,0,1,6.0,113,pick,2.561403509,1.0,53.0
2017-12-26,4.5,0,1,3.0,121,fast,2.561403509,1.0,53.0
2017-12-26,4.5,0,1,5.0,128,pick,2.561403509,1.0,53.0
2017-12-26,4.5,0,1,6.0,153,pick,2.561403509,1.0,53.0
2017-12-26,4.5,1,0,10.0,208,rat,2.561403509,1.0,53.0
2017-12-26,4.5,1,0,1.0,216,bat_fight,2.561403509,1.0,53.0
2017-12-27,9.0,1,0,2.0,37,rat_and_no_food,0.0,1.0,13.0
2017-12-28,3.0,0,1,1.0,14,fast,3.07696661,1.0,23.0
2017-12-28,3.0,1,0,2.0,40,rat,3.07696661,1.0,23.0
2017-12-28,3.0,1,0,26.0,68,rat,3.07696661,1.0,23.0
2017-12-28,3.0,1,0,5.0,521,rat_and_others,3.07696661,1.0,23.0
2017-12-28,3.0,1,1,15.0,564,pick_and_others,3.07696661,1.0,23.0
2017-12-28,3.0,1,0,24.0,607,rat,3.07696661,1.0,23.0
2017-12-28,11.5,0,1,2.0,107,fast,0.730769231,1.0,11.0
2017-12-28,11.5,0,1,2.0,358,fast,0.730769231,1.0,11.0
2018-01-27,6.5,0,1,0.049410419,12,fast,2.55,1.0,64.0
2018-01-27,6.5,0,1,1.0,14,fast,2.55,1.0,64.0
2018-01-27,6.5,1,0,6.0,49,rat,2.55,1.0,64.0
2018-01-27,6.5,0,1,3.0,68,fast,2.55,1.0,64.0
2018-01-27,6.5,1,0,8.0,84,rat,2.55,1.0,64.0
2018-01-27,6.5,1,0,31.0,122,rat,2.55,1.0,64.0
2018-01-27,6.5,0,1,0.010695699,186,fast,2.55,1.0,64.0
2018-01-27,6.5,0,1,2.0,231,fast,2.55,1.0,64.0
2018-01-27,6.5,0,0,1.0,246,gaze,2.55,1.0,64.0
2018-01-27,6.5,0,1,9.0,253,pick,2.55,1.0,64.0
2018-01-27,6.5,0,1,6.0,355,pick,2.55,1.0,64.0
2018-01-28,11.0,0,1,11.0,742,pick,1.0,1.0,3.0
2018-01-01,9.0,0,1,2.0,115,fast,1.92688172,1.0,18.0
2018-01-31,2.5,1,0,3.0,195,rat,3.214285714,1.0,80.0
2018-01-31,5.0,0,1,1.0,168,fast,2.0,1.0,80.0
2018-01-10,11.5,1,0,1.0,306,rat,2.366666667,0.0,23.0
2018-01-28,3.0,0,1,1.0,9,fast,3.583333333,1.0,68.0
2018-01-28,3.0,1,0,1.0,456,rat,3.583333333,1.0,68.0
2018-01-28,3.0,1,0,0.035319187,528,rat,3.583333333,1.0,68.0
2018-01-28,3.0,1,0,1.0,534,rat,3.583333333,1.0,68.0
2018-01-28,3.0,1,1,7.0,545,pick_rat,3.583333333,1.0,68.0
2018-01-28,3.0,0,1,1.0,551,fast,3.583333333,1.0,68.0
2018-01-28,3.0,0,1,0.034803066,569,fast,3.583333333,1.0,68.0
2018-01-28,3.0,1,0,1.0,583,rat,3.583333333,1.0,68.0
2018-01-28,3.0,0,1,1.0,589,fast,3.583333333,1.0,68.0
2018-01-28,3.0,0,1,2.0,627,fast,3.583333333,1.0,68.0
2018-01-28,3.0,0,1,1.0,631,fast,3.583333333,1.0,68.0
2018-01-28,3.0,0,1,4.0,642,fast,3.583333333,1.0,68.0
2018-01-28,3.0,0,1,4.0,720,pick,3.583333333,1.0,68.0
2018-01-28,3.0,1,0,3.0,824,rat,3.583333333,1.0,68.0
2018-01-29,8.5,0,1,22.0,225,pick,1.151209677,0.0,55.0
2018-01-28,3.0,1,0,1.0,162,rat,3.583333333,1.0,68.0
2018-02-20,8.5,1,0,2.0,151,rat,2.0,2.0,46.0
2018-02-20,9.5,1,0,1.0,17,rat,1.822307272,1.0,30.0
2018-02-20,8.5,1,0,3.0,116,bat,2.0,2.0,46.0
2018-02-10,7.5,1,0,4.0,22,rat,1.025466893,1.0,51.0
2018-02-10,7.5,0,1,3.0,96,fast,1.025466893,1.0,51.0
2018-02-10,7.5,0,1,0.089216347,18,fast,1.025466893,1.0,51.0
2018-02-10,7.5,1,0,2.0,56,rat,1.025466893,1.0,51.0
2018-02-10,7.5,0,1,0.041390374,65,fast,1.025466893,1.0,51.0
2018-02-10,7.5,1,0,0.090143902,81,rat,1.025466893,1.0,51.0
2018-02-10,7.5,0,0,20.0,102,both,1.025466893,1.0,51.0
2018-02-10,7.5,1,0,2.0,149,rat,1.025466893,1.0,51.0
2018-02-10,7.5,1,0,7.0,61,bat,1.025466893,1.0,51.0
2018-02-10,7.5,1,1,21.0,65,pick_bat,1.025466893,1.0,51.0
2018-02-10,7.5,0,1,4.0,68,pick,1.025466893,1.0,51.0
2018-02-10,7.5,0,1,2.0,80,pick,1.025466893,1.0,51.0
2018-02-07,1.0,1,0,1.0,166,rat,4.0,5.0,29.0
2018-02-07,5.5,0,1,14.0,299,pick,2.050611791,2.0,65.0
2018-02-08,8.5,1,0,8.0,7,rat_attack,1.037351443,2.0,53.0
2018-02-08,8.5,0,1,1.0,2,fast,1.037351443,2.0,53.0
2018-02-08,9.0,1,0,6.0,74,rat,1.0,0.0,24.0
2018-02-08,9.0,1,0,1.0,80,rat,1.0,0.0,24.0
2018-02-08,9.0,1,0,7.0,99,rat,1.0,0.0,24.0
2018-02-08,9.0,1,0,4.0,116,rat,1.0,0.0,24.0
2018-02-08,9.0,1,0,4.0,200,rat,1.0,0.0,24.0
2018-02-08,10.5,1,0,0.035867953,27,rat,0.0,0.0,19.0
2018-02-02,7.5,0,1,2.0,184,fast,1.03198484,1.0,60.0
2018-02-02,7.5,1,0,1.0,239,rat,1.03198484,1.0,60.0
2018-02-09,7.0,0,1,3.0,2,fast,2.0,2.0,46.0
2018-02-09,7.0,1,0,1.0,135,rat,2.0,2.0,46.0
2018-02-09,7.0,0,1,17.0,2,pick,2.0,2.0,46.0
2018-02-09,7.0,1,0,1.0,154,rat,2.0,2.0,46.0
2018-02-09,10.0,1,0,1.0,146,rat,1.0,1.0,22.0
2018-02-09,10.0,1,0,21.0,211,rat,1.0,1.0,22.0
2018-02-09,10.0,0,1,9.0,246,pick,1.0,1.0,22.0
2018-02-13,10.5,1,0,1.0,77,rat,1.0,1.0,28.0
2018-02-13,10.5,0,1,3.0,59,fast,1.0,1.0,28.0
2018-02-14,4.5,1,0,1.0,89,rat,2.01843318,4.0,86.0
2018-02-14,4.5,1,0,2.0,259,rat,2.01843318,4.0,86.0
2018-02-14,5.0,1,0,4.0,470,rat,2.0,6.0,103.0
2018-02-14,5.5,1,0,2.0,187,rat,1.854262673,0.0,91.0
2018-02-14,5.5,1,0,1.0,204,rat,1.854262673,0.0,91.0
2018-02-14,5.5,1,0,2.0,420,rat,1.854262673,0.0,91.0
2018-02-14,5.5,1,0,9.0,434,rat,1.854262673,0.0,91.0
2018-02-14,5.5,1,0,0.061201372,512,rat,1.854262673,0.0,91.0
2018-02-14,5.5,1,0,1.0,518,rat,1.854262673,0.0,91.0
2018-02-14,10.0,0,1,31.0,499,pick,0.0,2.0,10.0
2018-02-14,12.0,1,0,1.0,225,rat,0.0,1.0,12.0
2018-02-15,1.0,0,1,0.050105814,54,fast,4.0,5.0,29.0
2018-02-15,2.0,0,1,1.0,30,fast,3.322033898,1.0,51.0
2018-02-15,2.0,1,0,0.085595674,71,attack_rat,3.322033898,1.0,51.0
2018-02-15,1.5,1,0,6.0,179,bat,3.822307272,4.0,34.0
2018-02-15,1.5,0,1,6.0,201,pick,3.822307272,4.0,34.0
2018-02-15,1.5,1,0,1.0,321,rat,3.822307272,4.0,34.0
2018-02-04,1.5,1,0,3.0,77,bat_and_rat,3.933259177,3.0,83.0
2018-02-03,0.5,1,0,29.0,22,rat,3.949388209,1.0,34.0
2018-02-02,1.5,1,0,4.0,3,rat,4.0,0.0,45.0
2018-02-16,5.0,1,0,2.0,25,rat,3.0,0.0,65.0
2018-02-16,5.0,1,0,16.0,181,rat,3.0,0.0,65.0
2018-02-16,5.0,1,0,2.0,201,rat,3.0,0.0,65.0
2018-02-16,5.0,0,1,1.0,206,fast,3.0,0.0,65.0
2018-02-16,5.0,1,0,0.07570842,250,rat_attack,3.0,0.0,65.0
2018-02-19,7.0,0,1,0.057540536,157,fast,2.0,1.0,39.0
2018-02-19,8.0,1,0,3.0,6,rat,1.301587302,1.0,40.0
2018-02-10,4.0,1,0,5.0,222,rat,3.0,8.0,92.0
2018-02-10,4.0,1,0,1.0,68,rat,3.0,8.0,92.0
2018-02-10,4.0,1,0,2.0,75,rat,3.0,8.0,92.0
2018-02-10,4.5,1,0,1.0,6,rat,2.863978495,2.0,60.0
2018-02-10,4.5,1,0,4.0,92,rat,2.863978495,2.0,60.0
2018-02-10,4.5,1,0,13.0,137,rat,2.863978495,2.0,60.0
2018-02-10,4.5,1,0,1.0,155,rat,2.863978495,2.0,60.0
2018-02-10,4.5,0,1,2.0,158,fast,2.863978495,2.0,60.0
2018-02-10,4.5,1,0,1.0,224,rat,2.863978495,2.0,60.0
2018-02-11,7.0,1,0,1.0,35,rat,1.4,1.0,70.0
2018-02-11,8.0,0,1,5.0,7,pick,1.0,0.0,56.0
2018-02-11,8.5,1,0,0.04438061,105,rat,0.88320356,1.0,49.0
2018-02-11,8.5,1,0,3.0,132,rat,0.88320356,1.0,49.0
2018-02-11,8.5,0,1,1.0,242,fast,0.88320356,1.0,49.0
2018-02-11,8.5,0,1,6.0,269,fast,0.88320356,1.0,49.0
2018-02-11,8.5,1,0,24.0,286,rat,0.88320356,1.0,49.0
2018-02-10,2.0,0,1,0.097399911,13,fast,4.0,1.0,47.0
2018-02-17,3.5,1,0,2.0,20,rat,3.0,1.0,68.0
2018-02-17,3.5,1,0,1.0,35,rat,3.0,1.0,68.0
2018-02-17,3.5,1,0,2.0,42,rat,3.0,1.0,68.0
2018-02-17,0.0,0,1,0.050211363,139,fast,4.0,2.0,8.0
2018-03-18,4.0,0,1,3.0,2,fast,3.0,0.0,79.0
2018-03-18,4.0,0,1,2.0,73,fast,3.0,0.0,79.0
2018-03-18,4.0,0,1,1.0,105,fast,3.0,0.0,79.0
2018-03-18,4.0,0,1,2.0,130,fast,3.0,0.0,79.0
2018-03-29,6.0,0,1,4.0,71,pick,2.800105764,0.0,46.0
2018-03-29,6.0,1,0,0.046019395,192,rat,2.800105764,0.0,46.0
2018-03-29,6.0,0,1,9.0,220,pick,2.800105764,0.0,46.0
2018-03-29,6.0,0,1,18.0,239,pick,2.800105764,0.0,46.0
2018-03-29,6.0,1,0,14.0,250,rat,2.800105764,0.0,46.0
2018-03-29,6.0,0,1,3.0,265,fast,2.800105764,0.0,46.0
2018-03-29,6.0,1,0,12.0,279,rat,2.800105764,0.0,46.0
2018-03-29,6.0,0,1,15.0,295,pick,2.800105764,0.0,46.0
2018-03-29,6.0,0,1,2.0,426,fast,2.800105764,0.0,46.0
2018-03-29,6.0,1,0,34.0,452,rat,2.800105764,0.0,46.0
2018-03-29,6.0,1,0,11.0,507,rat,2.800105764,0.0,46.0
2018-03-29,7.5,0,1,0.013008356,29,fast,2.0,0.0,61.0
2018-03-29,7.5,0,1,2.0,135,fast,2.0,0.0,61.0
2018-03-29,7.5,1,0,2.0,188,rat,2.0,0.0,61.0
2018-03-29,7.5,1,0,0.028276798,329,rat,2.0,0.0,61.0
2018-03-20,8.5,1,1,4.0,46,rat_pick,2.423728814,0.0,28.0
2018-03-20,9.5,0,1,2.0,108,fast,2.0,0.0,16.0
2018-03-31,7.0,0,1,3.0,537,fast,0.779689297,0.0,28.0
2018-03-31,7.0,0,1,0.064154735,572,fast,0.779689297,0.0,28.0
2018-04-02,3.0,1,0,10.0,381,rat,2.774193548,1.0,98.0
