start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,date
2017-12-30 18:37:00,16.0,rat,30/12/2017 18:35,30/12/2017 18:38,108,1,0,0,30/12/2017 16:45,2.0,0,2017-12-30
2017-12-30 19:51:00,0.074015603,fast,30/12/2017 19:50,30/12/2017 19:55,17,0,1,0,30/12/2017 16:45,3.0,0,2017-12-30
2017-12-30 19:51:00,4.0,fast,30/12/2017 19:50,30/12/2017 19:55,41,0,1,0,30/12/2017 16:45,3.0,0,2017-12-30
2017-12-30 19:52:00,10.0,rat,30/12/2017 19:50,30/12/2017 19:55,111,1,0,0,30/12/2017 16:45,3.0,0,2017-12-30
2017-12-30 19:54:00,15.0,rat,30/12/2017 19:50,30/12/2017 19:55,194,1,0,0,30/12/2017 16:45,3.0,0,2017-12-30
2017-12-30 19:54:00,24.0,rat,30/12/2017 19:50,30/12/2017 19:55,215,1,0,0,30/12/2017 16:45,3.0,0,2017-12-30
2017-12-30 19:54:00,13.0,rat,30/12/2017 19:50,30/12/2017 19:55,253,1,0,0,30/12/2017 16:45,3.0,0,2017-12-30
2017-12-26 21:24:00,15.0,rat,26/12/2017 21:22,26/12/2017 21:27,88,1,0,0,26/12/2017 16:43,4.5,0,2017-12-26
2017-12-26 21:24:00,6.0,pick,26/12/2017 21:22,26/12/2017 21:27,113,0,1,0,26/12/2017 16:43,4.5,0,2017-12-26
2017-12-26 21:24:00,3.0,fast,26/12/2017 21:22,26/12/2017 21:27,121,0,1,0,26/12/2017 16:43,4.5,0,2017-12-26
2017-12-26 21:24:00,5.0,pick,26/12/2017 21:22,26/12/2017 21:27,128,0,1,0,26/12/2017 16:43,4.5,0,2017-12-26
2017-12-26 21:25:00,6.0,pick,26/12/2017 21:22,26/12/2017 21:27,153,0,1,0,26/12/2017 16:43,4.5,0,2017-12-26
2017-12-26 21:26:00,10.0,rat,26/12/2017 21:22,26/12/2017 21:27,208,1,0,0,26/12/2017 16:43,4.5,0,2017-12-26
2017-12-26 21:26:00,1.0,bat_fight,26/12/2017 21:22,26/12/2017 21:27,216,1,0,0,26/12/2017 16:43,4.5,0,2017-12-26
2017-12-27 01:35:00,2.0,rat_and_no_food,27/12/2017 1:34,27/12/2017 1:41,37,1,0,0,26/12/2017 16:43,9.0,0,2017-12-27
2017-12-28 19:36:00,1.0,fast,28/12/2017 19:35,28/12/2017 19:46,14,0,1,0,28/12/2017 16:44,3.0,0,2017-12-28
2017-12-28 19:36:00,2.0,rat,28/12/2017 19:35,28/12/2017 19:46,40,1,0,0,28/12/2017 16:44,3.0,0,2017-12-28
2017-12-28 19:37:00,26.0,rat,28/12/2017 19:35,28/12/2017 19:46,68,1,0,0,28/12/2017 16:44,3.0,0,2017-12-28
2017-12-28 19:44:00,5.0,rat_and_others,28/12/2017 19:35,28/12/2017 19:46,521,1,0,0,28/12/2017 16:44,3.0,0,2017-12-28
2017-12-28 19:45:00,15.0,pick_and_others,28/12/2017 19:35,28/12/2017 19:46,564,1,1,0,28/12/2017 16:44,3.0,0,2017-12-28
2017-12-28 19:46:00,24.0,rat,28/12/2017 19:35,28/12/2017 19:46,607,1,0,0,28/12/2017 16:44,3.0,0,2017-12-28
2017-12-28 03:58:00,2.0,fast,28/12/2017 3:56,28/12/2017 4:13,107,0,1,0,27/12/2017 16:43,11.5,0,2017-12-28
2017-12-28 04:02:00,2.0,fast,28/12/2017 3:56,28/12/2017 4:13,358,0,1,0,27/12/2017 16:43,11.5,0,2017-12-28
2018-01-27 23:44:00,0.049410419,fast,27/01/2018 23:44,27/01/2018 23:50,12,0,1,1,27/01/2018 17:09,6.5,0,2018-01-27
2018-01-27 23:44:00,1.0,fast,27/01/2018 23:44,27/01/2018 23:50,14,0,1,1,27/01/2018 17:09,6.5,0,2018-01-27
2018-01-27 23:45:00,6.0,rat,27/01/2018 23:44,27/01/2018 23:50,49,1,0,1,27/01/2018 17:09,6.5,0,2018-01-27
2018-01-27 23:45:00,3.0,fast,27/01/2018 23:44,27/01/2018 23:50,68,0,1,1,27/01/2018 17:09,6.5,0,2018-01-27
2018-01-27 23:45:00,8.0,rat,27/01/2018 23:44,27/01/2018 23:50,84,1,0,1,27/01/2018 17:09,6.5,0,2018-01-27
2018-01-27 23:46:00,31.0,rat,27/01/2018 23:44,27/01/2018 23:50,122,1,0,1,27/01/2018 17:09,6.5,0,2018-01-27
2018-01-27 23:47:00,0.010695699,fast,27/01/2018 23:44,27/01/2018 23:50,186,0,1,1,27/01/2018 17:09,6.5,0,2018-01-27
2018-01-27 23:48:00,2.0,fast,27/01/2018 23:44,27/01/2018 23:50,231,0,1,1,27/01/2018 17:09,6.5,0,2018-01-27
2018-01-27 23:48:00,1.0,gaze,27/01/2018 23:44,27/01/2018 23:50,246,0,0,1,27/01/2018 17:09,6.5,0,2018-01-27
2018-01-27 23:48:00,9.0,pick,27/01/2018 23:44,27/01/2018 23:50,253,0,1,1,27/01/2018 17:09,6.5,0,2018-01-27
2018-01-27 23:50:00,6.0,pick,27/01/2018 23:44,27/01/2018 23:50,355,0,1,1,27/01/2018 17:09,6.5,0,2018-01-27
2018-01-28 04:20:00,11.0,pick,28/01/2018 4:08,28/01/2018 4:20,742,0,1,1,27/01/2018 17:09,11.0,0,2018-01-28
2018-01-01 01:52:00,2.0,fast,1/01/2018 1:50,1/01/2018 1:55,115,0,1,1,31/12/2017 16:46,9.0,0,2018-01-01
2018-01-31 19:44:00,3.0,rat,31/01/2018 19:41,31/01/2018 19:45,195,1,0,1,31/01/2018 17:13,2.5,0,2018-01-31
2018-01-31 22:23:00,1.0,fast,31/01/2018 22:20,31/01/2018 22:24,168,0,1,1,31/01/2018 17:13,5.0,0,2018-01-31
2018-01-10 04:12:00,1.0,rat,10/01/2018 4:07,10/01/2018 4:15,306,1,0,1,9/01/2018 16:53,11.5,0,2018-01-10
2018-01-28 19:56:00,1.0,fast,28/01/2018 19:56,28/01/2018 20:10,9,0,1,1,28/01/2018 17:10,3.0,0,2018-01-28
2018-01-28 20:03:00,1.0,rat,28/01/2018 19:56,28/01/2018 20:10,456,1,0,1,28/01/2018 17:10,3.0,0,2018-01-28
2018-01-28 20:04:00,0.035319187,rat,28/01/2018 19:56,28/01/2018 20:10,528,1,0,1,28/01/2018 17:10,3.0,0,2018-01-28
2018-01-28 20:05:00,1.0,rat,28/01/2018 19:56,28/01/2018 20:10,534,1,0,1,28/01/2018 17:10,3.0,0,2018-01-28
2018-01-28 20:05:00,7.0,pick_rat,28/01/2018 19:56,28/01/2018 20:10,545,1,1,1,28/01/2018 17:10,3.0,0,2018-01-28
2018-01-28 20:05:00,1.0,fast,28/01/2018 19:56,28/01/2018 20:10,551,0,1,1,28/01/2018 17:10,3.0,0,2018-01-28
2018-01-28 20:05:00,0.034803066,fast,28/01/2018 19:56,28/01/2018 20:10,569,0,1,1,28/01/2018 17:10,3.0,0,2018-01-28
2018-01-28 20:05:00,1.0,rat,28/01/2018 19:56,28/01/2018 20:10,583,1,0,1,28/01/2018 17:10,3.0,0,2018-01-28
2018-01-28 20:05:00,1.0,fast,28/01/2018 19:56,28/01/2018 20:10,589,0,1,1,28/01/2018 17:10,3.0,0,2018-01-28
2018-01-28 20:06:00,2.0,fast,28/01/2018 19:56,28/01/2018 20:10,627,0,1,1,28/01/2018 17:10,3.0,0,2018-01-28
2018-01-28 20:06:00,1.0,fast,28/01/2018 19:56,28/01/2018 20:10,631,0,1,1,28/01/2018 17:10,3.0,0,2018-01-28
2018-01-28 20:06:00,4.0,fast,28/01/2018 19:56,28/01/2018 20:10,642,0,1,1,28/01/2018 17:10,3.0,0,2018-01-28
2018-01-28 20:08:00,4.0,pick,28/01/2018 19:56,28/01/2018 20:10,720,0,1,1,28/01/2018 17:10,3.0,0,2018-01-28
2018-01-28 20:09:00,3.0,rat,28/01/2018 19:56,28/01/2018 20:10,824,1,0,1,28/01/2018 17:10,3.0,0,2018-01-28
2018-01-29 01:32:00,22.0,pick,29/01/2018 1:29,29/01/2018 1:33,225,0,1,1,28/01/2018 17:10,8.5,0,2018-01-29
2018-01-28 19:58:00,1.0,rat,28/01/2018 19:56,28/01/2018 20:10,162,1,0,1,28/01/2018 17:10,3.0,0,2018-01-28
2018-02-20 01:49:00,2.0,rat,20/02/2018 1:47,20/02/2018 1:50,151,1,0,2,19/02/2018 17:30,8.5,0,2018-02-20
2018-02-20 03:10:00,1.0,rat,20/02/2018 3:10,20/02/2018 3:11,17,1,0,2,19/02/2018 17:30,9.5,0,2018-02-20
2018-02-20 02:12:00,3.0,bat,20/02/2018 2:10,20/02/2018 2:13,116,1,0,2,19/02/2018 17:30,8.5,0,2018-02-20
